Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1419.5,3.0690219883911547e-07,7.744617978025191e-08,8.184647881347904e-08,94.56863685198577,94.56863685198577,5.65724194172914,-0.12769167983766394
1419.50390625,2.9580124665515464e-07,7.277798045368243e-08,7.691304402866098e-08,91.26576006846496,91.26576006846496,5.469580709649847,-0.3153529119169569
1419.5078125,2.9444216337987606e-07,7.261059574351542e-08,7.691304402866098e-08,91.56031363151243,91.56031363151243,5.721558286954576,-0.06337533461222833
1419.51171875,2.917427014001166e-07,7.227698036021703e-08,7.691304402866098e-08,92.1527995590148,92.1527995590148,6.231673792657247,0.4467401710904433
1419.515625,2.8906798823654744e-07,7.177942912713614e-08,7.620790100254114e-08,92.45074328484525,92.45074328484525,6.012277906388363,0.22734428482155877
1419.51953125,2.8707805820246893e-07,7.161434102129012e-08,7.585775750291836e-08,93.05006094606635,93.05006094606635,5.809831364914729,0.024897743347924717
1419.5234375,2.851018267503907e-07,7.128530301265191e-08,7.55092227665434e-08,93.35144646971291,93.35144646971291,5.827689579905268,0.04275595833846424
1419.52734375,2.818382931264455e-07,7.112135136533295e-08,7.516228940182045e-08,94.56863685198564,94.56863685198564,5.657241941728884,-0.12769167983791974
1419.53125,2.798981319634363e-07,7.079457843841373e-08,7.481695005111553e-08,94.87587626928062,94.87587626928062,5.67469852015229,-0.11023510141451354
1419.53515625,2.792543841237339e-07,7.046930689671468e-08,7.498942093324559e-08,94.56863685198552,94.56863685198552,6.386632888167242,0.6016992666004377
1419.5390625,2.792543841237339e-07,7.063175542629623e-08,7.481695005111553e-08,94.87587626928077,94.87587626928077,5.918017724300938,0.1330841027341343
1419.54296875,2.786121168629772e-07,7.046930689671468e-08,7.447319739059889e-08,94.87587626928065,94.87587626928065,5.674698520152049,-0.11023510141475512
1419.546875,2.773320104651841e-07,7.030723198838328e-08,7.481695005111553e-08,95.18430445463447,95.18430445463447,6.4261236664242745,0.6411900448574706
1419.55078125,2.773320104651841e-07,7.063175542629623e-08,7.498942093324559e-08,95.80475153181261,95.80475153181261,6.219205314034113,0.4342716924673091
1419.5546875,2.7797132677592886e-07,7.095777679633887e-08,7.516228940182045e-08,96.116782727429,96.116782727429,5.991546054542582,0.2066124329757777
1419.55859375,2.798981319634363e-07,7.079457843841373e-08,7.498942093324559e-08,94.87587626928062,94.87587626928062,5.918017724300952,0.1330841027341485
1419.5625,2.8054336379517105e-07,7.128530301265191e-08,7.585775750291836e-08,95.49392749839072,95.49392749839072,6.445983822962376,0.6610502013955717
1419.56640625,2.8313919957993814e-07,7.194489780036998e-08,7.620790100254114e-08,95.49392749839058,95.49392749839058,5.95463956197591,0.1697059404091057
1419.5703125,2.851018267503907e-07,7.277798045368243e-08,7.762471166286912e-08,96.11678272742915,96.11678272742915,6.733985520929409,0.9490518993626047
