Velocity,Brightness Temperature,Velocity Corrected
191.1688603027304,-0.12769167983766394,196.0125644229084
190.34440272209156,-0.3153529119169569,195.18810684226958
189.519945141486,-0.06337533461222833,194.36364926166402
188.69548756084717,0.4467401710904433,193.5391916810252
187.8710299802083,0.22734428482155877,192.71473410038632
187.04657239960275,0.024897743347924717,191.89027651978077
186.22211481896392,0.04275595833846424,191.06581893914193
185.39765723832508,-0.12769167983791974,190.2413613585031
184.5731996577195,-0.11023510141451354,189.41690377789752
183.74874207708066,0.6016992666004377,188.59244619725868
182.92428449644183,0.1330841027341343,187.76798861661985
182.099826915803,-0.11023510141475512,186.943531035981
181.2753693351974,0.6411900448574706,186.11907345537543
180.45091175455858,0.4342716924673091,185.2946158747366
179.62645417391974,0.2066124329757777,184.47015829409776
178.8019965933142,0.1330841027341485,183.6457007134922
177.97753901267532,0.6610502013955717,182.82124313285334
177.1530814320365,0.1697059404091057,181.9967855522145
176.32862385143093,0.9490518993626047,181.17232797160895
175.5041662707921,-0.03972988729557514,180.34787039097012
174.67970869015323,0.20661243297580612,179.52341281033125
173.85525110954768,0.41509523053482056,178.6989552297257
173.03079352890884,0.11487902273808359,177.87449764908686
172.20633594827,0.3769642155775337,177.05004006844803
171.38187836766443,0.3015793176070254,176.22558248784244
170.5574207870256,0.11487902273789885,175.4011249072036
169.73296320638676,0.5430311153824796,174.57666732656477
168.9085056257812,0.30157931760698276,173.75220974595922
168.08404804514234,-0.4029314356979192,172.92775216532036
167.2595904645035,0.26431952186965546,172.10329458468152
166.43513288386467,-0.23103184076706995,171.27883700404269
165.61067530325911,0.5869834987298539,170.45437942343713
164.78621772262025,0.4467401710904575,169.62992184279827
163.96176014198142,0.172408731212915,168.80546426215943
163.13730256137586,-0.08082873048705252,167.98100668155388
162.31284498073703,0.15423608501589925,167.15654910091504
161.48838740009816,0.35227059424443397,166.33209152027618
160.6639298194926,-0.11553698218770236,165.50763393967063
159.83947223885377,0.10013090280969905,164.6831763590318
159.01501465821494,-0.13279249810147675,163.85871877839296
158.19055707760936,0.24124789821864923,163.03426119778737
157.36609949697052,0.5098475159915701,162.20980361714854
156.54164191633168,0.4527560421703818,161.3853460365097
155.71718433572613,0.06440132529310816,160.56088845590415
154.89272675508727,-0.21809698795071242,159.73643087526528
154.06826917444843,0.20479567134366405,158.91197329462645
153.2438115938096,0.011311035078936271,158.0875157139876
152.41935401320404,0.3776298403584555,157.26305813338206
151.59489643256518,0.11485414207719558,156.4386005527432
150.77043885192634,0.624519819152912,155.61414297210436
149.9459812713208,0.1506285875306368,154.7896853914988
149.12152369068195,0.32201984343653933,153.96522781085997
148.2970661100431,-0.31836354771649766,153.1407702302211
147.47260852943754,-0.4792665558681186,152.31631264961555
146.6481509487987,-0.12736843834305134,151.49185506897672
145.82369336815984,0.11485414207706768,150.66739748833785
144.99923578755428,0.07934618117758774,149.8429399077323
144.17477820691545,0.35902377963590837,149.01848232709347
143.3503206262766,-0.351287703441141,148.19402474645463
142.52586304567106,0.43408270534907345,147.36956716584908
141.7014054650322,0.41542587055366553,146.5451095852102
140.87694788439336,-0.4164034868329729,145.72065200457138
140.0524903037878,-0.4646086643412666,144.89619442396582
139.22803272314894,0.35986792819963753,144.07173684332696
138.4035751425101,0.5094065951662579,143.24727926268812
137.57911756187127,-0.2785118098560808,142.4228216820493
136.75465998126572,-0.025604572303944195,141.59836410144374
135.93020240062685,-0.07721068832402622,140.77390652080487
135.10574481998802,-0.07721068832395517,139.94944894016604
134.28128723938246,0.21264931395373665,139.12499135956048
133.45682965874363,0.009119369144304557,138.30053377892165
132.63237207810477,0.00911936914402034,137.47607619828278
131.8079144974992,0.23070870499975982,136.65161861767723
130.98345691686038,-0.21196032538116683,135.8271610370384
130.15899933622154,-0.21196032538138,135.00270345639956
129.33454175561596,-0.21196032538135157,134.17824587579398
128.51008417497712,-0.24535932928047188,133.35378829515514
127.68562659433829,-0.1951676277908767,132.5293307145163
126.86116901373272,-0.2119603253814084,131.70487313391075
126.03671143309388,-0.025604572303972617,130.88041555327192
125.21225385245504,-0.04287027459922044,130.05595797263305
124.38779627184948,0.5791632041659547,129.2315003920275
123.56333869121063,0.15887094342716424,128.40704281138866
122.7388811105718,-0.2286907921511947,127.58258523074983
121.91442352993295,0.39683801766348736,126.75812765011098
121.0899659493274,0.1946567717060823,125.93367006950542
120.26550836868854,-0.21196032538138,125.10921248886658
119.44105078804971,-0.04287027459909254,124.28475490822774
118.61659320744414,-0.6680031246627713,123.46029732762217
117.7921356268053,-0.04287027459927728,122.63583974698334
116.96767804616645,0.12334866003778089,121.81138216634449
116.1432204655609,-0.22869079215140786,120.98692458573893
115.31876288492205,0.1588709434271358,120.16246700510008
114.49430530428322,-0.07721068832396938,119.33800942446125
113.66984772367765,-0.27851180985610924,118.51355184385568
112.84539014303881,0.1588709434271358,117.68909426321684
112.02093256239996,0.5411553945096905,116.864636682578
111.19647498179441,-0.1112984862874491,116.04017910197244
110.37201740115556,0.48466591098553025,115.21572152133359
109.54755982051672,0.5791632041657699,114.39126394069476
108.72310223991116,0.35986792819968016,113.56680636008919
107.89864465927232,-0.042870274599206226,112.74234877945035
107.07418707863347,0.10568555640741195,111.9178911988115
106.24972949799464,0.14107701737232858,111.09343361817267
105.42527191738907,0.3049219041152931,110.2689760375671
104.60081433675023,0.37831881380553867,109.44451845692826
103.77635675611138,0.5791632041658694,108.62006087628941
102.95189917550583,0.5791632041658694,107.79560329568386
102.12744159486698,0.10568555640741195,106.97114571504501
